Select,Prod Code,Ingr Prod Code,Ingredient Description,Pack Size,Recipe Weight,Cost,Recipe Use,Total Cost,Unit Cost Excl
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27691,POLYPROP 250X400X30,EA,,1.87,52.000,97.45,
BAKERY,,26539,4051 PER BOX ONLY HOTCROSS,EA,,0.95,52.000,49.14,
BAKERY,,27494,SYRUP BAKERY CHIPKINS,P/KG,,30.84,0.500,15.42,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,19,,,367.01,
BAKERY,,,,,Scale,,0.360,,
BAKERY,,,,,Yield,52.78,52.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,7.06
BAKERY,,,,,,,,,
BAKERY,26713,SOFT  ROUND ROLL,Vat,,,,,,0.95
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27751,GREASE PROOF 2,EA,,0.19,271.000,51.11,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,19,,,256.12,
BAKERY,,,,,Scale,,0.070,,
BAKERY,,,,,Yield,271.43,271.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,0.95
BAKERY,,,,,,,,,
BAKERY,26734,SOFT HOTDOG  ROLLS,Vat,,,,,,0.95
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,12.500,13.49,12.500,168.68,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.000,3.20,6.000,19.20,
BAKERY,,27751,GREASE PROOF 2,EA,,0.19,271.000,51.11,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,19,,,256.12,
BAKERY,,,,,Scale,,0.070,,
BAKERY,,,,,Yield,271.43,271.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,0.95
BAKERY,,,,,,,,,
BUTCHERY,26665,BABALAS BRAAI WORS,Vat,,,,,,22.88
BUTCHERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BUTCHERY,,28743,FROZEN MDM,P/KG,25.000,15.50,25.000,387.50,
BUTCHERY,,28760,BEEF KIDNEY FAT,P/KG,25.000,13.99,25.000,349.75,
BUTCHERY,,29030,SPAR WATER,P/KG,30.000,3.20,30.000,96.00,
BUTCHERY,,30590,PRS PARTY BRAAIWORS,P/KG,15.000,59.99,15.000,899.85,
BUTCHERY,,31923,HOG CASINGS 28/32 LONGS,P/KG,,239.99,1.357,325.70,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,95,,,"2,058.80",
BUTCHERY,,,,,Scale,,1.000,,
BUTCHERY,,,,,Yield,95.00,90.00,,
BUTCHERY,,,,,Cost excl per Each/Kg,,,,22.88
BUTCHERY,,,,,,,,,
BAKERY,26751,ZUKI'S SCONE,Vat,,,,,,4.01
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,15732,WC MILLING CAKE FLOUR,12.5K,8.000,11.40,8.000,91.17,
BAKERY,,28222,MILK FULL CREAM,20L,1.400,13.80,1.400,19.32,
BAKERY,,29322,OIL VEGETABLE CHIPKINS,20LT,1.400,43.50,1.400,60.90,
BAKERY,,27492,SUGAR WHITE HULETS,P/KG,1.400,23.44,1.400,32.82,
BAKERY,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,1.400,59.00,0.933,55.07,
BAKERY,,28313,HERCULES BAKING POWDER,P/KG,0.400,53.05,0.400,21.22,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,14,,,280.50,
BAKERY,,,,,Scale,,0.200,,
BAKERY,,,,,Yield,70.00,70.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,4.01
BAKERY,,,,,,,,,
BAKERY,26753,ROCK BUNS,Vat,,,,,,6.06
